timestamp,copilot_total,copilot_merged,codex_total,codex_merged,cursor_total,cursor_merged,devin_total,devin_merged,codegen_total,codegen_merged,copilot_nondraft,codex_nondraft,cursor_nondraft,devin_nondraft,codegen_nondraft
2025‑06‑21 21:01:03,17648,10159,433612,371519,1850,1371,29752,18173,4047,1611,11029,421630,1805,27494,1941
2025‑06‑22 00:02:05,17581,10197,435356,373069,1863,1379,29757,18174,4048,1611,11067,423506,1816,27506,1942
2025‑06‑22 03:27:34,17579,10200,437065,374611,1875,1388,29771,18186,4050,1613,11097,425145,1828,27523,1945
2025‑06‑22 06:01:00,17605,10218,438511,375917,1890,1399,29791,18195,4056,1615,11115,426480,1845,27536,1950
2025‑06‑22 09:01:10,17633,10244,438638,375842,1906,1412,29808,18204,4058,1617,11137,428222,1860,27553,1954
2025‑06‑22 12:01:14,17674,10277,440328,377318,1925,1419,29819,18210,4061,1618,11175,430009,1880,27562,1956
2025‑06‑22 14:11:04,17683,10297,441856,378659,1935,1426,29836,18214,4063,1618,11197,431561,1889,27578,1957
2025‑06‑22 14:18:25,17683,10301,441948,378741,1936,1427,29836,18215,4063,1618,11198,431644,1890,27578,1957
2025‑06‑22 14:27:21,17684,10302,442041,378841,1936,1427,29837,18215,4063,1618,11199,431736,1890,27579,1957
2025‑06‑22 14:34:22,17688,10305,442239,378998,1934,1425,29837,18215,4063,1618,11202,431830,1890,27579,1957
2025‑06‑22 15:00:57,17692,10309,442525,379255,1935,1425,29839,18219,4063,1618,11205,432165,1892,27581,1957
2025‑06‑22 18:00:56,17733,10343,444857,381318,1966,1449,29855,18235,4063,1619,11234,434534,1922,27589,1958
2025‑06‑22 21:00:58,17781,10366,447148,383378,1996,1474,29851,18236,4068,1626,11262,436699,1941,27600,1966
2025‑06‑23 00:02:01,17819,10395,449106,385095,2022,1497,29862,18245,4090,1647,11286,438612,1959,27612,1990
